sources_html_no	sources_json_index	http_status(HEAD[/GET])	url	verdict
1	53	200	https://en.wikipedia.org/wiki/Disney%2B_Hotstar	OK; Wikipedia (tertiary)
2	215	200	https://blog.google/intl/en-in/company-news/welcome-to-ananta-google-indias-new-campus-in-bengaluru/	OK
3	54	200	https://newsletter.thesignal.co/p/hbo-disney-ipl-jio-viacom-hotstar-4c5a	OK
4	210	200	https://www.outlookbusiness.com/corporate/jpmorgan-to-add-1000-tech-roles-at-india-gcc-despite-ai-driven-workforce-gains	OK
5	200	200	https://www.cio.com/article/1309580/captive-centers-are-back-is-diy-offshoring-right-for-you.html	OK
6	76	200	https://thedesk.net/2025/09/comcast-sky-job-cuts-uk/	OK
7	186	200	https://zinnov.com/centers-of-excellence/zinnov-nasscom-india-gcc-landscape-2026-report/	OK
8	6	403/GET:200	https://about.netflix.com/en/news/netflix-celebrates-10-years-in-poland-and-supercharges-warsaw-presence-with-new-office	OK
9	36	200	https://amazon.jobs/en/jobs/3146219/principal-software-engineer-prime-video-studios-coretech	OK
10	60	200	https://careers.wbd.com/global/en/india-innovation-Hub	OK
11	67	200	https://corporate.comcast.com/stories/peacock-cto-patrick-miceli-nfl-wildcard-game-olympics-future-of-streaming	OK
12	22	200	https://techcrunch.com/2014/03/06/spotify-acquires-the-echo-nest/	OK
13	97	403/GET:403	https://cacm.acm.org/research/does-distributed-development-affect-software-quality/	BOT-BLOCKED (not a broken link; opens in a browser)
14	131	200	https://herbsleb.org/web-pubs/pdfs/Herbsleb-Empirical-2003.pdf	OK
15	205	200	https://gcc-pulse.com/gcc-ecosystem/retail-e-commerce/target-india-journey/	OK
16	133	202	https://ieeexplore.ieee.org/document/914734/	OK
17	92	403/GET:403	https://pubsonline.informs.org/doi/10.1287/mnsc.26.3.322	BOT-BLOCKED (not a broken link; opens in a browser)
18	130	200	https://hbr.org/2017/05/whats-your-data-strategy	OK
19	24	200	https://research.google.com/pubs/archive/36500.pdf	OK
20	17	200	https://engineering.atspotify.com/2025/9/spotifys-experiments-with-learning-framework	OK
21	2	403/GET:403	https://netflixtechblog.com/experimentation-is-a-major-focus-of-data-science-across-netflix-f67923f8e985	BOT-BLOCKED (not a broken link; opens in a browser)
22	50	403/GET:403	https://medium.com/disney-streaming/disney-streaming-embraces-3-key-tenets-of-experimentation-b20bb34c7ad4	BOT-BLOCKED (not a broken link; opens in a browser)
23	96	403/GET:403	https://dl.acm.org/doi/10.1145/1368088.1368160	BOT-BLOCKED (not a broken link; opens in a browser)
24	31	200	https://www.productleadership.io/p/the-myth-of-amazons-2-pizza-teams-d14f2b4d834f	OK
25	203	403/GET:403	https://pubsonline.informs.org/doi/10.1287/isre.1090.0239	BOT-BLOCKED (not a broken link; opens in a browser)
26	208	200	https://lowes.co.in/about/	OK
27	198	200	https://www.cio.com/article/278296/outsourcing-outsourcing-the-demise-of-the-offshore-captive-center.html	OK
28	103	200	https://teamtopologies.com/key-concepts-content/what-is-a-thinnest-viable-platform-tvp	OK
29	191	200	https://www.varindia.com/news/India%E2%80%99s-GCC-Expansion-Faces-Leadership-Talent-Crunch	OK
30	197	200	https://www.forrester.com/report/shattering-the-offshore-captive-center-myth/RES42059	OK
31	207	200	https://www.prnewswire.com/in/news-releases/lowes-announces-the-opening-of-global-innovation-center-in-bangalore-india-291514481.html	OK
32	89	200	https://jaygalbraith.com/wp-content/uploads/2024/03/StarModel.pdf	OK
33	194	200	https://zinnov.com/centers-of-excellence/what-no-one-tells-you-about-global-capability-center-gcc-talent-blog/	OK
34	101	200	https://itrevolution.com/product/team-topologies-second-edition/	OK
35	49	200	https://thedesk.net/2026/04/disney-streaming-shake-up-arora-leaving/	OK
36	137	200	https://amsacta.unibo.it/5737/1/ThompsonAnniversary.pdf	OK; NOTE: URL is a 2017 anniversary commentary volume on Thompson, not the 1967 book itself
37	116	200	https://itrevolution.com/product/accelerate/	OK
38	188	200	https://zinnov.com/centers-of-excellence/5-shifts-defining-indias-global-capability-centers-gccs-story-in-2025-blog/	OK
39	104	200	https://itrevolution.com/product/remote-team-interactions-workbook/	OK
40	196	200	https://www.hrkatha.com/special/editorial/indias-it-services-industry-built-the-talent-its-biggest-clients-are-now-hiring-it-directly-through-gccs/	OK
41	111	200	https://lethain.com/sizing-engineering-teams/	OK
42	71	200	https://variety.com/2023/tv/news/nbcu-research-data-science-peacock-will-gonzalez-promotion-1235486146/	OK
43	108	000/GET:000	https://www.mckinsey.com/~/media/mckinsey/business%20functions/organization/our%20insights/how%20to%20identify%20the%20right%20spans%20of%20control%20for%20your%20organization/how-to-identify-the-right-spans-of-control-for-your-organization.pdf	UNREACHABLE: curl (HEAD and GET, browser UA) and WebFetch all time out (000) for the PDF and for the article page https://www.mckinsey.com/capabilities/people-and-organizational-performance/our-insights/how-to-identify-the-right-spans-of-control-for-your-organization — mckinsey.com blocks automated clients, so this may be bot-blocking rather than a dead file; verify in a browser and prefer the article-page URL (or an archive.org capture) over the /~/media PDF path
44	1	403/GET:403	https://netflixtechblog.com/analytics-at-netflix-who-we-are-and-what-we-do-7d9c08fe6965	BOT-BLOCKED (not a broken link; opens in a browser)
45	192	200	https://zinnov.com/global-talent/high-performer-attrition-gcc-india-2026-zinnov-blog/	OK
46	132	403/GET:403	https://dl.acm.org/doi/10.1207/S15327051HCI1523_4	BOT-BLOCKED (not a broken link; opens in a browser)
47	90	403/GET:403	https://pubsonline.informs.org/doi/10.1287/inte.4.3.28	BOT-BLOCKED (not a broken link; opens in a browser)
48	13	200	https://www.jeremiahlee.com/posts/failed-squad-goals/	OK
49	211	200	https://corporate.walmart.com/about/international/markets/india	OK
50	14	200	https://engineering.atspotify.com/2020/10/spotifys-new-experimentation-platform-part-1	OK
51	34	200	https://www.allthingsdistributed.com/2020/01/aws-datalake.html	OK
52	81	404/GET:200	https://thenextweb.com/news/paramount-streaming-tech-stack-pluto-tv-hbo-max	OK
53	27	200	https://www.greaterzuricharea.com/en/news/google-opens-innovation-center-zurich	OK
54	3	403/GET:403	https://netflixtechblog.com/supporting-diverse-ml-systems-at-netflix-2d2e6b6d205d	BOT-BLOCKED (not a broken link; opens in a browser)
